,,0
improvement_surcharge,airport_fee,0.0004909008029734563
mta_tax,improvement_surcharge,0.0004909008029734563
mta_tax,airport_fee,0.0005844057178255432
RatecodeID,improvement_surcharge,0.001472702408920369
store_and_fwd_flag,improvement_surcharge,0.001998667554963358
store_and_fwd_flag,airport_fee,0.001998667554963358
store_and_fwd_flag,mta_tax,0.002057108126745912
RatecodeID,store_and_fwd_flag,0.0021272368128849774
improvement_surcharge,congestion_surcharge,0.002758394988136564
VendorID,improvement_surcharge,0.002922028589127716
VendorID,airport_fee,0.002922028589127716
VendorID,RatecodeID,0.0032960482485360635
VendorID,mta_tax,0.0033077363628925744
VendorID,congestion_surcharge,0.0036350035648748786
store_and_fwd_flag,congestion_surcharge,0.004137592482204846
RatecodeID,mta_tax,0.004254473625769955
mta_tax,congestion_surcharge,0.0052128990030038454
RatecodeID,congestion_surcharge,0.00811155136341854
RatecodeID,airport_fee,0.014715335974847178
passenger_count,improvement_surcharge,0.01487896957583833
passenger_count,mta_tax,0.015065979405542504
passenger_count,airport_fee,0.015580256437228981
mta_tax,tolls_amount,0.01622310272683708
tolls_amount,improvement_surcharge,0.01622310272683708
passenger_count,congestion_surcharge,0.016304919527332654
store_and_fwd_flag,tolls_amount,0.017111399417931904
passenger_count,RatecodeID,0.017111399417931904
VendorID,tolls_amount,0.01719321621842748
passenger_count,store_and_fwd_flag,0.01866591862734785
extra,improvement_surcharge,0.02016199726498124
VendorID,extra,0.0210853582991456
extra,mta_tax,0.021716516474397186
RatecodeID,tolls_amount,0.02202040744766647
tolls_amount,congestion_surcharge,0.022522996364996436
RatecodeID,extra,0.02908002851899903
passenger_count,tolls_amount,0.029956637095737346
VendorID,store_and_fwd_flag,0.03514615987002817
extra,airport_fee,0.036911065137861306
extra,congestion_surcharge,0.03811494091658193
extra,tolls_amount,0.038898044578468155
VendorID,passenger_count,0.03964608389728485
store_and_fwd_flag,extra,0.0406629498463013
tolls_amount,airport_fee,0.04365510712156808
congestion_surcharge,airport_fee,0.044344705868602216
improvement_surcharge,tip_amount,0.04868099629486775
store_and_fwd_flag,tip_amount,0.049019951611206564
mta_tax,tip_amount,0.0493822831562584
VendorID,tip_amount,0.050013441331509985
RatecodeID,tip_amount,0.05639515177016492
passenger_count,tip_amount,0.059773016819196556
congestion_surcharge,tip_amount,0.06131584791425599
passenger_count,extra,0.0626249167221852
extra,tip_amount,0.075844174059399
tolls_amount,tip_amount,0.07856750470446602
airport_fee,tip_amount,0.08240120621340159
DOLocationID,improvement_surcharge,0.09448671645803383
DOLocationID,mta_tax,0.09606461189616279
VendorID,DOLocationID,0.09987493717638533
RatecodeID,DOLocationID,0.10097361992589736
store_and_fwd_flag,DOLocationID,0.10139439204273175
DOLocationID,airport_fee,0.11075657164229695
passenger_count,DOLocationID,0.11261498182498217
DOLocationID,tolls_amount,0.11676426242154353
DOLocationID,congestion_surcharge,0.13701976460137685
DOLocationID,extra,0.15787136061339224
PULocationID,improvement_surcharge,0.17843075376649487
PULocationID,mta_tax,0.17890996645511179
store_and_fwd_flag,PULocationID,0.17972813446006755
VendorID,PULocationID,0.18078006475215352
DOLocationID,tip_amount,0.18536180557990578
RatecodeID,PULocationID,0.1900019869794406
passenger_count,PULocationID,0.19078509064132684
PULocationID,tolls_amount,0.2099068457285786
PULocationID,congestion_surcharge,0.2261416365697722
PULocationID,airport_fee,0.24182708603620978
PULocationID,tip_amount,0.24845424687635143
PULocationID,extra,0.24902696447982048
PULocationID,DOLocationID,0.3932115431817385
